ℹ️ [19:11:56] ════════════════════════════════════════════════════════════
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
⏳ [19:11:59] ⏳ Tentativa 229/1000 (38 min decorridos)
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
⏳ [19:11:59] ⏳ Tentativa 241/1000 (40 min decorridos)
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
⏳ [19:11:59] ⏳ Tentativa 253/1000 (42 min decorridos)
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
⏳ [19:11:59] ⏳ Tentativa 265/1000 (44 min decorridos)
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
⏳ [19:11:59] ⏳ Tentativa 277/1000 (46 min decorridos)
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:11:59] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
❌ [19:12:00] Variáveis de ambiente não configuradas
